ds,actual_usage
2023-11-18 0:00,38.70061938
2023-11-19 0:00,40.13204749
2023-11-20 0:00,37.11417574
2023-11-21 0:00,38.07708404
2023-11-22 0:00,37.93370365
2023-11-23 0:00,37.44202293
2023-11-24 0:00,38.90200717
2023-11-25 0:00,38.603958
2023-11-26 0:00,40.05268335
2023-11-27 0:00,37.05698112
2023-11-28 0:00,38.04585099
2023-11-29 0:00,37.93094548
2023-11-30 0:00,37.46881898
2023-12-1 0:00,38.95789919
2023-12-2 0:00,38.68690498
2023-12-3 0:00,40.15907916
2023-12-4 0:00,37.18173704
2023-12-5 0:00,38.18254256
2023-12-6 0:00,38.07202035
2023-12-7 0:00,37.60585984
2023-12-8 0:00,39.08193349
2023-12-9 0:00,38.78875037
2023-12-10 0:00,40.22971209
2023-12-11 0:00,37.21267012
2023-12-12 0:00,38.16619516
2023-12-13 0:00,38.00206647
2023-12-14 0:00,37.47753719
2023-12-15 0:00,38.89229819
2023-12-16 0:00,38.53686329
2023-12-17 0:00,39.91674423
2023-12-18 0:00,36.84191682
2023-12-19 0:00,37.74299209
2023-12-20 0:00,37.53360305
2023-12-21 0:00,36.97256707
2023-12-22 0:00,38.36075004
2023-12-23 0:00,37.98935869
2023-12-24 0:00,39.36403378
2023-12-25 0:00,36.29424877
2023-12-26 0:00,37.20943126
2023-12-27 0:00,37.02132085
2023-12-28 0:00,36.48612562
2023-12-29 0:00,37.90140517
2023-12-30 0:00,37.55440782
2023-12-31 0:00,38.94623464
2024-1-1 0:00,35.05624955
2024-1-2 0:00,33.05154129
2024-1-3 0:00,36.55959943
2024-1-4 0:00,35.95943001
2024-1-5 0:00,37.27524224
2024-1-6 0:00,36.78903122
2024-1-7 0:00,37.99713968
2024-1-8 0:00,34.6999458
2024-1-9 0:00,35.31829221
2024-1-10 0:00,34.75616217
2024-1-11 0:00,33.76315601
2024-1-12 0:00,34.63168665
2024-1-13 0:00,33.64561217
2024-1-14 0:00,34.30466836
2024-1-15 0:00,32.13330186
2024-1-16 0:00,34.60670526
2024-1-17 0:00,33.38397904
2024-1-18 0:00,31.71026208
2024-1-19 0:00,31.88880229
2024-1-20 0:00,30.21544948
2024-1-21 0:00,30.20288363
2024-1-22 0:00,18.93808141
2024-1-23 0:00,18.71438393
2024-1-24 0:00,17.07824812
2024-1-25 0:00,15.41389513
2024-1-26 0:00,13.73897366
2024-1-27 0:00,12.07241949
2024-1-28 0:00,10.43415991
2024-1-29 0:00,8.844784315
2024-1-30 0:00,7.325187273
2024-1-31 0:00,5.896191234
2024-2-1 0:00,4.578156916
2024-2-2 0:00,3.39058978
2024-2-3 0:00,2.351751373
2024-2-4 0:00,1.478284441
2024-2-5 0:00,0.784860564
2024-2-6 0:00,0.283858771
2024-2-7 0:00,-0.014916997
2024-2-8 0:00,-0.104474414
2024-2-9 0:00,0.019182866
2024-2-10 0:00,0.3569281
2024-2-11 0:00,0.906445401
2024-2-12 0:00,1.662227183
2024-2-13 0:00,2.615636089
2024-2-14 0:00,3.755030893
2024-2-15 0:00,5.065954369
2024-2-16 0:00,6.53137966
2024-2-17 0:00,8.132010229
2024-2-18 0:00,9.846627277
2024-2-19 0:00,11.65247724
2024-2-20 0:00,13.52569113
2024-2-21 0:00,15.44172644
